id,parameter_set_id,source,qualifier,amount,units
6378,1174,System,min,50.0000,kW
6379,1174,System,max,1.0000,MW
6402,2339,Incentive,,60.0000,%
6403,2340,Incentive,,0.0800,$/kWh
6404,2340,Incentive,,200.0000,$/kW
6653,1171,Incentive,,0.3400,$/kWh
6654,1171,Incentive,max,1000.0000,$
6981,2469,Incentive,,250.0000,$/Unit
7329,2018,Incentive,,0.4700,$/W-CEC-AC
7330,2019,Incentive,,0.3600,$/W-CEC-AC
7331,2019,Incentive,max,90000.0000,$
7332,2020,Incentive,,1.1100,$/W-CEC-AC
7333,2020,Incentive,max,277500.0000,$
7475,2636,Incentive,max,7500.0000,$
7476,2636,Incentive,max,100.0000,"% of cost"
7683,2381,Incentive,min,0.1500,$/kWh
7684,2382,Incentive,min,0.1200,$/kWh
7685,2383,Incentive,max,5000.0000,$
7728,2785,System,max,15.0000,MW
7926,59,Incentive,,75.0000,$/MWh
7927,59,System,max,10.0000,kW-AC
9423,2932,Incentive,max,350.0000,$
9424,120,System,,0.0000,$
9708,2470,Incentive,max,0.2500,$
9709,2471,Incentive,min,0.1500,$/kWh
9710,2471,Incentive,max,0.1700,$
9711,2472,Incentive,,0.0900,$/kWh
10275,2408,Incentive,,550.0000,$/Unit
11200,1832,Incentive,,25.0000,%
11201,1833,Incentive,max,7000.0000,$
11202,1834,Incentive,max,15000.0000,$
11203,1835,Incentive,max,15000.0000,$
11669,2602,Incentive,max,75.0000,"% of cost"
12204,1956,Incentive,,40.0000,$/Unit
12368,174,Incentive,max,275.0000,$
12469,3767,Incentive,max,200.0000,$
12629,362,Incentive,max,55.0000,"% of cost"
12630,362,Incentive,max,5.0000,"% of cost"
12631,361,Incentive,max,55.0000,"% of cost"
12632,361,Incentive,max,5.0000,"% of cost"
12633,360,Incentive,,100.0000,%
13154,3159,Incentive,,2.0000,$/W
13155,3159,Incentive,max,5000.0000,$
13156,3160,Incentive,,200.0000,$/Unit
13157,26,Incentive,,1000.0000,$/Unit
13158,2409,Incentive,,1000.0000,$/Unit
13159,2410,Incentive,max,150000.0000,
13165,2429,Incentive,,1000.0000,$/Unit
13466,122,Incentive,min,25.0000,%
13998,1958,Incentive,,50.0000,%
13999,1958,Incentive,max,1750.0000,$
14000,1959,Incentive,,1000.0000,$/ton
14001,1959,Incentive,max,5000.0000,$
14724,4147,Incentive,,0.4000,"$/square foot"
14725,4147,Incentive,max,0.4000,
14726,4148,Incentive,min,250.0000,$/Unit
14727,4148,Incentive,max,1000.0000,$
14728,4149,Incentive,,200.0000,$/Unit
14729,4150,Incentive,min,100.0000,$/Unit
14730,4150,Incentive,max,300.0000,$
14837,461,Incentive,,1.0000,$/W
14838,461,Incentive,max,3000.0000,$
15001,2831,Incentive,max,250.0000,$
15734,2265,Incentive,,50.0000,$/Unit
15735,2265,Incentive,max,100.0000,$
15736,2266,Incentive,max,400.0000,$
15737,2267,Incentive,max,1250.0000,$
15738,2267,Incentive,,50.0000,$/Unit
15739,2268,Incentive,min,900.0000,$/Unit
15740,2268,Incentive,max,2600.0000,$
15741,2269,Incentive,,25.0000,$/Unit
15742,2269,Incentive,max,50.0000,$
15743,2270,Incentive,,150.0000,$/Unit
15744,2270,Incentive,max,300.0000,$
15745,2260,Incentive,min,150.0000,$/Unit
15746,2260,Incentive,max,300.0000,$
15747,2261,Incentive,min,100.0000,$/Unit
15748,2261,Incentive,max,300.0000,$
15749,2262,Incentive,max,25.0000,$
15750,2262,Incentive,,50.0000,%
15751,2263,Incentive,,125.0000,$/Unit
15752,2264,Incentive,max,400.0000,$
15753,2411,Incentive,max,2000.0000,$
15754,2411,Incentive,min,1200.0000,$/Unit
15755,2412,Incentive,min,400.0000,$/Unit
15756,2412,Incentive,max,900.0000,$
15757,2413,Incentive,min,50.0000,$/Unit
15758,2413,Incentive,max,100.0000,$
15759,2414,Incentive,,500.0000,$/Unit
15760,2415,Incentive,,20.0000,$/Unit
15761,2416,Incentive,,350.0000,$/Unit
16631,2142,Incentive,max,600.0000,$
18465,1903,Incentive,,1.2500,$/W-CEC-AC
18466,1904,System,max,29.9900,kW
18467,1904,Incentive,,1.1000,$/W-CEC-AC
18468,1904,System,min,30.0000,kW
18469,1904,System,max,1000.0000,kW
18470,1904,Incentive,,0.1100,"$/kWh (5 years)"
20087,358,Incentive,max,20.0000,Years
20178,2458,Incentive,,0.0000,"$/kWh (10 years)"
20179,2459,Incentive,,0.0000,"$/kWh (10 years)"
20637,3658,Incentive,,1250.0000,$/Unit
20638,3659,Incentive,min,1250.0000,$/Unit
20639,3659,Incentive,max,12500.0000,$
20640,3660,Incentive,min,750.0000,$/Unit
20641,3660,Incentive,max,2500.0000,$
21023,155,Incentive,max,7500.0000,$
21024,155,Incentive,max,37500.0000,$
21025,155,System,min,1.0000,kW-DC
21026,155,System,max,50.0000,kW-DC
21027,155,Incentive,,1.0000,$/W-DC
21052,3768,Incentive,min,0.1300,"$/kWh (10 years)"
21053,3768,System,max,40.0000,kW-DC
21054,3769,System,max,10.0000,kW-DC
21055,3769,Incentive,min,0.2300,"$/kWh (10 years)"
21056,3770,System,max,40.0000,kW-DC
21057,3770,Incentive,min,0.1500,"$/kWh (10 years)"
21096,2235,Incentive,max,400.0000,$
21097,2236,Incentive,max,600.0000,$
21098,2237,Incentive,,100.0000,$/Unit
21099,2237,Incentive,max,400.0000,$
21249,2473,System,min,5.0000,kW-DC
21250,2473,System,max,10.0000,kW-DC
21251,2473,Incentive,min,0.2300,"$/kWh (15 years)"
21257,2065,Incentive,,35.0000,%
21258,194,Incentive,,35.0000,%
21283,2037,Incentive,,0.0500,$/kWh
21284,2037,System,min,10.1000,kW
21285,2037,System,max,100.0000,kW
21393,494,Incentive,max,10000.0000,$
21394,494,Incentive,,2.5000,$/W-DC
21396,158,System,max,2000.0000,
21455,2027,Incentive,,0.2500,$/W-DC
21456,2027,System,max,1.0000,MW
21457,2027,Incentive,max,1375.0000,$
21458,2028,Incentive,,0.2500,$/W-DC
21459,2028,System,max,1.0000,MW
21460,2028,Incentive,max,10000.0000,$
21461,2028,Incentive,max,15.0000,"% of cost"
21462,2029,Incentive,,20.0000,%
21463,2029,Incentive,max,750.0000,$
21464,4447,Incentive,max,25.0000,"% of cost"
21465,4447,Incentive,max,10000.0000,$
21600,864,Incentive,min,500.0000,$/Unit
21601,864,Incentive,max,2000.0000,$
21602,865,Incentive,,200.0000,$/Unit
21603,866,Incentive,min,0.1700,"$/square foot"
21604,867,Incentive,min,200.0000,$/Unit
21605,867,Incentive,max,3000.0000,$
21606,868,Incentive,min,5.0000,"$/linear foot"
21607,857,Incentive,,200.0000,$/Unit
21608,859,Incentive,min,1.7500,"$/square foot"
21609,859,Incentive,max,4.0000,"$/square foot"
21610,860,Incentive,min,0.3000,"$/square foot"
21611,860,Incentive,max,0.3800,"$/square foot"
21612,861,Incentive,,0.7500,"$/linear foot"
21613,863,Incentive,,50.0000,%
21614,863,Incentive,max,150.0000,$
21620,4544,Incentive,min,15.0000,$/Unit
21621,4544,Incentive,max,35.0000,$/Unit
21622,4545,Incentive,,25.0000,$/Unit
21623,4546,Incentive,,800.0000,$
21624,4546,Incentive,min,500.0000,$
21625,4546,Incentive,max,1500.0000,$
21626,4547,Incentive,min,200.0000,$
21627,4547,Incentive,max,300.0000,$
21628,4548,Incentive,min,0.3500,"$/square foot"
21629,4548,Incentive,max,1.1000,"$/square foot"
21630,4539,Incentive,,750.0000,$
21919,3209,Incentive,min,50.0000,$
21920,3209,Incentive,max,75.0000,$
21921,5229,System,max,200.0000,Horsepower
21922,5229,Incentive,,50.0000,$/horsepower
21923,5230,Incentive,,0.0500,"$/square foot"
21924,5230,Incentive,max,10000.0000,$
21925,5231,Incentive,,0.0800,"$/first year kWh savings"
21926,5231,Incentive,max,40000.0000,$
21938,698,Incentive,,35.0000,%
21939,698,Incentive,max,999999.9999,$
21940,693,Incentive,,35.0000,%
21941,693,Incentive,max,3500.0000,$
21942,694,Incentive,,35.0000,%
21943,694,Incentive,max,1400.0000,$
21944,695,Incentive,,35.0000,%
21945,695,Incentive,max,8400.0000,$
21946,696,Incentive,,35.0000,%
21947,696,Incentive,max,10500.0000,$
21948,697,Incentive,,35.0000,%
21949,697,Incentive,max,999999.9999,$
22054,2114,Incentive,,0.1700,$/kWh
22433,4071,Incentive,,200.0000,$/Unit
22434,4072,Incentive,,800.0000,$/Unit
22623,4655,Incentive,min,35.0000,$/ton
22624,4655,Incentive,max,40.0000,$/ton
22625,4656,Incentive,,80.0000,$/ton
22626,4657,Incentive,,200.0000,$/Unit
22627,4658,Incentive,,25.0000,$/ton
22806,1970,Incentive,,1.6800,$/W-AC
22807,1970,Incentive,max,6000.0000,$
22808,1971,Incentive,,1.6800,$/W-AC
22809,1971,Incentive,max,12000.0000,$
22810,1972,Incentive,,1.6800,$/W-AC
22811,1972,Incentive,max,20000.0000,$
23468,2062,Incentive,,1000.0000,$/Unit
23608,83,Incentive,max,250000.0000,$
23609,84,Incentive,max,30.0000,"% of cost"
23610,85,Incentive,max,40.0000,"% of cost"
23611,86,Incentive,max,25.0000,"% of cost"
23612,87,Incentive,max,40.0000,"% of cost"
23613,88,Incentive,max,40.0000,"% of cost"
23614,89,Incentive,max,40.0000,"% of cost"
23831,2841,Incentive,,500.0000,$/kW
23832,2841,Incentive,max,5.0000,$
23833,2841,System,min,0.5000,kW
23834,2841,System,max,25.0000,kW
23835,2842,Incentive,,500.0000,$/kW
23836,2842,Incentive,max,2.0000,$
23837,2842,System,min,0.5000,kW
23838,2842,System,max,25.0000,kW
23839,521,Incentive,,1.0000,$/W
23935,2786,Incentive,,75.0000,%
23936,2786,Incentive,max,25.0000,$
23937,2782,Incentive,max,400.0000,$
23938,2782,Incentive,,50.0000,%
23941,2714,Incentive,,100.0000,$/Unit
23942,2714,Incentive,max,850.0000,$
23943,2715,Incentive,,400.0000,$/Unit
23944,2715,Incentive,max,750.0000,$
23945,2716,Incentive,,250.0000,$/Unit
23946,2716,Incentive,max,1.0000,$
23947,2717,Incentive,,300.0000,$/Unit
23948,2718,Incentive,,125.0000,$/Unit
23949,1957,Incentive,,100.0000,%
23954,2978,Incentive,max,500000.0000,$
23955,2978,Incentive,max,50.0000,"% of cost"
24059,632,Incentive,,1.1500,$/W-AC
24060,632,System,max,4.0000,kW-AC
24061,633,Incentive,,0.9000,$/W-AC
24062,633,System,max,25.0000,kW-AC
24063,634,Incentive,,0.7000,$/W-AC
24064,634,System,min,25.0000,kW-AC
24065,634,System,max,1000.0000,kW-AC
25619,1952,Incentive,min,100.0000,$/Unit
25620,1952,Incentive,max,250.0000,$
25621,1953,Incentive,min,575.0000,$/Unit
25622,1953,Incentive,max,800.0000,$
25623,1954,Incentive,min,800.0000,$/Unit
25624,1954,Incentive,max,1150.0000,$
28781,628,Incentive,,50.0000,$/Unit
28782,629,Incentive,,25.0000,$/Unit
28783,630,Incentive,max,750.0000,$
28784,631,Incentive,min,600.0000,$/Unit
28785,631,Incentive,max,3.0000,$
30102,734,Incentive,min,50.0000,$/Unit
30103,734,Incentive,max,100.0000,$
30104,735,Incentive,,15.0000,$/Unit
30105,736,Incentive,min,25.0000,$/Unit
30106,736,Incentive,max,50.0000,$
30107,737,Incentive,,30.0000,$/horsepower
30108,738,Incentive,,30.0000,$/horsepower
30109,746,Incentive,min,50.0000,$/Unit
30110,746,Incentive,max,500.0000,$
30111,747,Incentive,min,500.0000,$/Unit
30112,747,Incentive,,700.0000,$/Unit
30113,748,Incentive,min,300.0000,$/Unit
30114,748,Incentive,max,800.0000,$
30115,749,Incentive,,25.0000,$/Unit
30116,750,Incentive,,20.0000,$/Unit
30117,751,Incentive,min,25.0000,$/Unit
30118,751,Incentive,max,400.0000,$
30119,752,Incentive,min,25.0000,$/Unit
30120,752,Incentive,max,50.0000,$
30121,753,Incentive,min,50.0000,$/Unit
30122,753,Incentive,max,100.0000,$
30123,754,Incentive,,15.0000,$/Unit
30124,755,Incentive,min,200.0000,$/Unit
30125,755,Incentive,max,400.0000,$
30126,756,Incentive,,30.0000,$/Unit
30127,757,Incentive,max,5.0000,$
30128,712,Incentive,min,50.0000,$/Unit
30129,712,Incentive,max,100.0000,$
30130,713,Incentive,,15.0000,$/Unit
30131,714,Incentive,min,25.0000,$/Unit
30132,714,Incentive,max,50.0000,$
30133,715,Incentive,min,50.0000,$/Unit
30134,715,Incentive,max,500.0000,$
30135,716,Incentive,,75.0000,$/Unit
30136,717,Incentive,min,150.0000,$/Unit
30137,717,Incentive,max,450.0000,$
30138,718,Incentive,,25.0000,$/Unit
30139,719,Incentive,max,7.0000,$
30140,720,Incentive,,20.0000,$/Unit
30141,721,Incentive,max,600.0000,$
30142,722,Incentive,,30.0000,$/horsepower
30143,703,Incentive,max,100.0000,$
30144,704,Incentive,,15.0000,$/Unit
30145,705,Incentive,min,25.0000,$/Unit
30146,705,Incentive,max,50.0000,$
30147,706,Incentive,,50.0000,$/Unit
30148,707,Incentive,min,150.0000,$/Unit
30149,707,Incentive,max,450.0000,$
30150,708,Incentive,,10.0000,$/bulb
30151,709,Incentive,,50.0000,%
30152,710,Incentive,,25.0000,$/Unit
30153,711,Incentive,,20.0000,$/Unit
30775,2172,System,max,10.0000,MW
30776,2172,Incentive,,0.1000,"$/kWh (20 years)"
31031,2625,Incentive,,80.0000,$/Unit
31032,2583,Incentive,,3.0000,"$/square foot"
31033,2584,Incentive,max,70.0000,"% of cost"
31034,2585,Incentive,max,50.0000,"% of cost"
31035,2573,Incentive,max,100.0000,"% of cost"
31274,1849,Incentive,,0.1000,$/kWh
31275,1849,Incentive,max,50.0000,"% of cost"
31276,1849,System,min,200.0000,kW
31561,2143,Incentive,,1000.0000,$/Unit
31563,171,Incentive,,25.0000,%
31564,171,Incentive,max,25000.0000,$
31565,172,Incentive,max,2500.0000,$
31566,172,Incentive,,25.0000,%
31567,3771,Incentive,,25.0000,%
31568,3771,Incentive,max,5000.0000,$
31569,5181,Incentive,min,0.1300,"$/kWh (10 years)"
31570,5181,System,max,40.0000,kW-DC
31571,5182,System,max,40.0000,kW-DC
31572,5182,Incentive,min,0.1500,"$/kWh (10 years)"
31573,5183,System,max,10.0000,kW-DC
31574,5183,Incentive,min,0.2300,"$/kWh (10 years)"
31723,1653,Incentive,,750.0000,$/Unit
31724,2889,Incentive,min,0.0200,"$/square foot"
31725,2889,Incentive,max,0.0400,"$/square foot"
31726,2890,Incentive,,45.0000,$/ton
31727,2891,Incentive,,0.3000,"$/square foot"
31728,2892,Incentive,min,0.3000,"$/square foot"
31729,2892,Incentive,max,0.4000,"$/square foot"
31730,2893,Incentive,,100.0000,$/horsepower
31731,4671,Incentive,min,5.0000,$/fixture
31732,4671,Incentive,max,12.0000,$/fixture
31733,4672,Incentive,,0.3000,"$/square foot"
31734,4673,Incentive,,1.0000,$/gallon
31735,4674,Incentive,,75.0000,$/Unit
31736,2973,Incentive,,0.0200,"$/square foot"
31737,2974,Incentive,min,0.4000,"$/square foot"
31738,2974,Incentive,max,0.7500,"$/square foot"
31739,5068,Incentive,min,100.0000,$/Unit
31740,5068,Incentive,max,375.0000,$/Unit
31741,5069,Incentive,,0.0010,$/MBTUh
31742,5070,Incentive,,1.5000,$/gallon
31743,5071,Incentive,,0.5000,"$/linear foot"
31744,5071,Incentive,,7.5000,$/Unit
31745,5072,Incentive,,0.7500,"$/square foot"
31746,5073,Incentive,min,20.0000,$/Unit
31747,5073,Incentive,max,500.0000,$/Unit
31748,4689,Incentive,max,5.0000,$/fixture
31749,4690,Incentive,max,500.0000,$/ton
31750,4691,Incentive,,20.0000,$
31751,4692,Incentive,min,0.0050,"$/square foot"
31752,4692,Incentive,max,0.0060,"$/square foot"
31753,4693,Incentive,,250.0000,$
31754,4694,Incentive,max,2.0000,"$/square foot"
31755,4695,Incentive,,15.0000,$/Unit
31756,4696,Incentive,,15.0000,$/Unit
31757,4697,Incentive,,40.0000,$/horsepower
31758,4698,Incentive,,6.0000,$/Unit
31759,2881,Incentive,,0.0200,"$/square foot"
31760,5154,Incentive,,6.0000,$/Unit
31761,5155,Incentive,,5.0000,$/Unit
31762,5156,Incentive,,4.0000,$/Unit
31763,5157,Incentive,,3.0000,$/ton
31764,5158,Incentive,min,0.2000,"$/square foot"
31765,5158,Incentive,max,0.5000,"$/square foot"
31766,3456,Incentive,,5.0000,$/Unit
31767,3456,Incentive,max,25.0000,$
31768,3457,Incentive,,25.0000,$/Unit
31834,352,Incentive,max,50.0000,"% of cost"
31835,352,Incentive,max,10000.0000,$
31836,352,Incentive,,2.0000,$/W-DC
31837,356,Incentive,,38.0000,%
31838,356,Incentive,max,7600.0000,$
31839,356,System,max,6.0000,kW-DC
31873,38,System,max,1.0000,MW
31874,38,Incentive,min,0.1100,"$/kWh (20 years)"
31965,1435,Incentive,,1500.0000,$/Unit
31966,1436,Incentive,min,250.0000,$/Unit
31967,1436,Incentive,max,750.0000,$/Unit
31968,1437,Incentive,,400.0000,$/Unit
32090,1428,Incentive,,75.0000,$/ton
32091,1429,Incentive,min,50.0000,$/ton
32092,1429,Incentive,max,75.0000,$
32093,1430,Incentive,,20.0000,$/Unit
32094,1431,Incentive,,100.0000,$/horsepower
32095,1432,Incentive,,20.0000,$/Unit
32096,1433,Incentive,min,25.0000,$/Unit
32097,1433,Incentive,max,40.0000,$
32098,1404,Incentive,min,4.0000,$/horsepower
32099,1404,Incentive,max,6.0000,$
32100,1405,Incentive,,30.0000,$/horsepower
32111,1444,Incentive,,250.0000,$/Unit
32112,1445,Incentive,,150.0000,$/Unit
32113,1446,Incentive,min,25.0000,$/Unit
32114,1446,Incentive,max,100.0000,$
32115,1438,Incentive,,250.0000,$/Unit
32116,1439,Incentive,,150.0000,$/Unit
32117,1440,Incentive,min,25.0000,$/Unit
32118,1440,Incentive,max,100.0000,$
32119,1286,System,max,10.0000,kW-DC
32120,1286,Incentive,,0.0900,"$/kWh (5 years)"
32151,1424,Incentive,,1.0000,$/Unit
32152,1425,Incentive,,400.0000,$/Unit
32153,1426,Incentive,,250.0000,$/Unit
32154,1426,Incentive,,1.0000,$/Unit
32155,2144,Incentive,,1.0000,$/W
32156,2144,Incentive,max,50.0000,"% of cost"
32157,2144,Incentive,max,50000.0000,$
32167,2304,Incentive,,0.5000,$/W-AC
32168,2304,Incentive,max,50000.0000,$
32171,2003,Incentive,,1.6800,$/W
32172,2003,Incentive,max,7000.0000,$
32173,2004,Incentive,,1.6800,$/Unit
32174,2004,Incentive,max,40000.0000,$
32175,2021,Incentive,,0.7800,$/W-AC
32176,2021,Incentive,max,2340.0000,$
32177,2022,Incentive,,0.7800,$/W-AC
32178,2022,Incentive,max,19500.0000,$
32179,2063,Incentive,,0.6200,$/W-AC
32180,2063,Incentive,max,4480.0000,$
32181,2064,Incentive,,0.5900,$/W-AC
32182,2064,Incentive,max,11800.0000,$
32183,2134,System,max,29.9900,kW-AC
32184,2134,Incentive,,0.5000,$/W-CEC-AC
32185,2135,System,min,30.0000,kW-AC
32186,2135,Incentive,,0.0500,"$/kWh (5 years)"
32187,2135,Incentive,max,550000.0000,$
32188,2131,Incentive,,1.0000,$/W-AC
32189,2131,Incentive,max,3000.0000,$
32190,2132,Incentive,,1.0000,$/W-AC
32191,2132,Incentive,max,25000.0000,$
32192,2298,Incentive,,0.5000,$/W-AC
32193,2547,Incentive,,0.6400,$/W-CEC-AC
32194,2547,System,max,30.0000,kW
32195,2548,Incentive,,0.4900,$/W-CEC-AC
32196,2548,System,max,30.0000,kW-CEC-AC
32197,2544,Incentive,,0.5100,$/W-DC
32198,414,Incentive,,1.3000,$/W
32199,414,Incentive,max,65000.0000,$
32200,2568,System,max,30.0000,kW-DC
32201,2568,Incentive,,1.5000,$/W
32202,2568,Incentive,max,50.0000,"% of cost"
32203,2569,Incentive,,2.6000,$/W-AC
32204,2569,Incentive,max,3000.0000,$
32205,2569,Incentive,max,50.0000,"% of cost"
32206,2570,Incentive,,1.8100,$/W-AC
32207,2570,Incentive,max,19000.0000,$
32208,2570,Incentive,max,50.0000,"% of cost"
32209,2570,System,max,50.0000,kW
32210,2587,Incentive,,1.0000,$/W-AC
32211,2587,Incentive,max,10000.0000,$
32212,2588,System,max,30.0000,kW-AC
32213,2588,Incentive,,1.0000,$/W-AC
32214,2589,System,min,30.1000,kW-AC
32215,2589,System,max,500.0000,kW-AC
32216,2589,Incentive,,0.0400,"$/kWh (4 years)"
32219,1680,Incentive,,0.2400,$/W-CEC-AC
32220,4359,System,max,29.9900,kW
32221,4359,Incentive,,1.2000,$/W
32222,4360,System,min,30.0000,kW
32223,4360,Incentive,,0.1500,"$/kWh (5 years)"
32224,4360,System,max,1000.0000,kW
32225,4358,System,max,29.9900,kW
32226,4358,Incentive,,0.5700,$/W
32237,2293,Incentive,,50.0000,$/ton
32238,2294,Incentive,,150.0000,$/kW
32239,2295,Incentive,,0.0600,"$/first year kWh savings"
32427,2482,Incentive,min,1000.0000,$/kW
32428,2482,Incentive,max,4000.0000,$/kW
32429,2482,Incentive,max,600.0000,$
32430,2482,System,max,750.0000,kW
32431,2482,Incentive,max,50.0000,"% of cost"
32432,5736,System,max,25.0000,kW
32433,5736,Incentive,,4000.0000,$/kW
32586,1319,Incentive,,25.0000,$/Unit
32587,1320,Incentive,min,40.0000,$/ton
32588,1320,Incentive,max,80.0000,$
32589,1321,Incentive,,150.0000,$/ton
32590,1322,Incentive,,300.0000,$/ton
32591,1323,Incentive,,30.0000,$/horsepower
32592,2877,Incentive,,300.0000,$/Unit
32593,2878,Incentive,,125.0000,$/Unit
32594,2878,Incentive,max,300.0000,$
32635,2010,Incentive,,200.0000,$/Unit
32636,2011,Incentive,min,150.0000,$/Unit
32637,2011,Incentive,max,200.0000,$
32638,2012,Incentive,,300.0000,$/Unit
32639,2200,Incentive,,450.0000,$/Unit
32640,2201,Incentive,,25.0000,$/Unit
32641,2202,Incentive,,50.0000,
32642,2203,Incentive,,50.0000,$/Unit
32653,2136,Incentive,max,200.0000,$
32654,2137,Incentive,max,100.0000,$
32655,2138,Incentive,max,400.0000,$
32838,476,System,min,0.5000,kW
32839,476,System,max,25.0000,kW
32840,476,Incentive,,0.2000,$/W
32841,476,Incentive,max,1800.0000,$
32842,477,Incentive,,0.2000,$/W
32843,477,Incentive,max,600.0000,$
32844,478,Incentive,,0.0200,$/BTU
32845,478,Incentive,max,600.0000,$
33131,3247,Incentive,,40.0000,$/MBTUh
33347,1925,System,max,10.0000,kW
33348,1925,Incentive,,1.2500,$/W-AC
33349,1925,Incentive,max,12500.0000,$
33350,1926,System,max,50.0000,kW
33351,1926,Incentive,,0.6500,$/W-AC
33352,1927,System,min,50.1000,kW
33353,1927,System,max,1.0000,MW
33354,1927,Incentive,,0.0900,"$/kWh (5 years)"
33385,1974,System,max,100.0000,kW-CEC-AC
33386,1974,Incentive,,0.3000,$/W-CEC-AC
33387,1975,System,max,100.0000,kW-CEC-AC
33388,1975,Incentive,,0.6000,$/W-CEC-AC
33389,1976,System,max,100.0000,kW-CEC-AC
33390,1976,Incentive,,1.2000,$/W-CEC-AC
33391,1977,System,min,100.1000,kW-CEC-AC
33392,1977,System,max,1000.0000,kW-CEC-AC
33393,1977,Incentive,,0.0960,$/kWh
33394,1978,System,min,100.1000,kW-CEC-AC
33395,1978,System,max,1000.0000,kW-CEC-AC
33396,1978,Incentive,,0.1920,$/kWh
33397,1979,System,min,100.1000,kW-CEC-AC
33398,1979,System,max,1000.0000,kW-CEC-AC
33399,1979,Incentive,,0.3840,$/kWh
33420,3115,System,min,1.0000,kW-CEC-AC
33421,3115,System,max,10.0000,kW-CEC-AC
33422,3115,Incentive,,0.2400,$/W-CEC-AC
33423,3116,System,min,10.1000,kW-CEC-AC
33424,3116,System,max,24.9000,kW-CEC-AC
33425,3116,Incentive,,0.0400,"$/kWh (5 years)"
33467,487,Incentive,,50.0000,%
33468,487,Incentive,max,400.0000,$
33508,447,System,max,10.0000,kW
33509,447,Incentive,,450.0000,$/kW
33572,1,Incentive,,1.0000,$/W
33573,1,Incentive,max,5000.0000,$
33574,2,Incentive,,1.0000,$/W
33575,2,Incentive,max,2500.0000,$
33576,3,Incentive,,1.0000,$/W
33577,3,Incentive,max,10000.0000,$
33580,136,Incentive,,300.0000,$/kW
33581,136,Incentive,max,8000.0000,$
33582,136,System,max,100.0000,kW-DC
33583,137,Incentive,,300.0000,$/kW
33584,137,Incentive,max,2000.0000,$
33585,137,System,max,100.0000,kW-DC
33586,138,Incentive,,500.0000,$/Unit
33622,1842,Incentive,,0.0200,"$/kWh (10 years)"
33623,1843,Incentive,,0.0000,$/BTU
33624,1723,Incentive,max,500.0000,$
33625,1723,Incentive,,3.0000,$/W
33626,1724,Incentive,max,500.0000,$
33627,1725,Incentive,max,500.0000,$
33628,1726,Incentive,max,250.0000,$
33633,1990,System,min,1.0000,MW
33634,1990,Incentive,,6.0000,%
33635,1990,Incentive,max,999999.9999,$
33636,568,Incentive,,0.0100,"$/kWh (10 years)"
33637,568,System,min,1.0000,MW
33638,569,Incentive,,0.0300,"$/kWh (10 years)"
33639,569,System,min,1.0000,MW
33640,540,Incentive,,10.0000,%
33641,540,Incentive,max,9000.0000,$
33642,541,Incentive,,10.0000,%
33643,541,Incentive,max,9000.0000,$
33646,2086,Incentive,,1.5000,$/W-DC
33647,2087,Incentive,max,6000.0000,$
33648,2087,Incentive,max,50.0000,"% of cost"
33649,2088,Incentive,,0.6000,"$/first year kWh savings"
33650,2089,Incentive,,2.0000,"$/kWh (1 year)"
