id,program_id
7297,1897
4526,1902
6091,1902
6092,1902
6093,1902
5823,1920
5824,1920
5825,1920
5826,1920
3854,1924
3855,1924
6088,1924
4101,1925
4102,1925
4107,1925
4108,1925
4557,1926
4558,1926
4561,1926
4562,1926
4563,1926
6116,1926
1249,1929
1250,1929
1251,1929
5936,1929
5939,1929
5940,1929
6080,1929
6081,1929
232,1930
235,1930
236,1930
238,1930
239,1930
5132,1930
5134,1930
723,1931
724,1931
725,1931
726,1931
727,1931
728,1931
729,1931
285,1932
286,1932
287,1932
289,1932
5141,1932
547,1940
548,1940
549,1940
550,1940
551,1940
552,1940
553,1940
5278,1940
6282,1940
4308,1941
4309,1941
4310,1941
6280,1941
6281,1941
61,1942
63,1942
64,1942
4997,1942
4999,1942
5000,1942
5001,1942
5007,1942
6293,1942
6294,1942
3972,1946
6616,1946
6617,1946
6618,1946
6619,1946
6620,1946
7388,1948
563,1949
565,1949
6322,1949
6323,1949
6048,1951
1291,1958
7311,1974
2992,1983
2856,2000
2512,2003
7429,2003
7430,2003
7431,2003
7432,2003
7433,2003
7434,2003
57,2006
58,2006
3691,2007
3692,2007
7230,2007
220,2008
221,2008
2234,2011
5241,2011
5243,2011
5245,2011
5246,2011
7285,2011
7286,2011
2228,2013
5249,2013
5251,2013
7287,2013
7288,2013
7289,2013
7290,2013
7291,2013
7292,2013
2180,2014
5254,2014
7283,2014
7284,2014
7298,2015
7299,2015
7300,2015
7301,2015
7302,2015
7303,2015
7304,2015
7305,2015
2141,2016
987,2029
7263,2029
7264,2029
2642,2030
2643,2030
5795,2031
5796,2031
5797,2031
2083,2036
2085,2036
7091,2036
7092,2036
7093,2036
7094,2036
991,2039
992,2039
993,2039
994,2039
995,2039
1032,2039
5223,2039
7126,2039
5728,2045
5730,2045
5731,2045
5732,2045
5733,2045
1265,2050
257,2077
258,2077
6029,2077
7062,2077
7063,2077
7064,2077
7065,2077
7066,2077
2098,2084
2099,2084
2100,2084
2102,2084
2104,2084
5698,2084
5700,2084
5701,2084
7256,2084
2097,2087
1200,2088
1202,2088
5220,2088
5213,2091
5214,2091
5215,2091
7129,2091
7130,2091
7131,2091
3138,2099
3139,2099
3621,2105
3622,2105
3623,2105
3624,2105
3625,2105
3626,2105
3627,2105
3628,2105
2209,2110
2212,2110
2214,2110
5776,2110
5777,2110
5924,2122
5921,2124
6186,2140
6187,2140
4365,2152
4366,2152
7211,2152
7212,2152
7213,2152
7214,2152
1025,2157
1026,2157
1027,2157
1028,2157
5941,2157
1029,2158
1030,2158
1031,2158
2752,2165
1252,2166
7193,2166
7194,2166
4539,2173
2753,2176
2754,2176
5109,2176
5110,2176
5111,2176
5112,2176
2778,2177
2779,2177
2900,2177
2901,2177
5103,2177
5104,2177
5105,2177
5106,2177
5107,2177
950,2179
7174,2183
7175,2183
7176,2183
7177,2183
7178,2183
7179,2183
4429,2185
4431,2185
4432,2185
